,code,open,high,low,close
2181,300178,49.91,50.49,47.63,
2182,600770,31.05,31.1,29.78,
2183,300149,27.73,28.0,26.38,
2184,603158,67.8,69.49,64.75,
2185,002462,71.9,73.68,68.03,
2186,300426,161.73,162.88,150.0,
2187,300194,39.06,40.0,37.02,
2188,002233,25.0,25.83,23.5,
2189,300197,34.4,34.72,32.64,
2190,603889,41.17,41.21,39.11,
2191,002707,141.1,142.99,135.65,
2192,002745,62.22,62.77,59.45,
2193,601069,28.49,28.49,27.0,
2194,000661,180.0,181.8,175.0,
2195,000693,33.82,34.17,32.54,
2196,002104,36.26,36.58,34.45,
2197,002615,29.83,29.92,28.88,
2198,603806,65.41,66.38,63.68,
2199,300125,56.03,57.53,53.5,
2200,600765,38.5,39.29,37.5,
2201,300348,188.0,193.37,180.0,
2202,000752,29.6,29.93,28.7,
2203,002030,76.9,76.9,73.82,
2204,002247,40.22,42.52,39.0,
2205,603306,57.05,58.5,55.5,
2206,000517,25.0,25.1,23.81,
2207,300394,107.38,108.45,103.3,
2208,002684,44.3,47.0,42.45,
2209,300400,67.08,67.1,64.0,
2210,600836,33.82,34.22,32.28,
2211,002315,152.97,152.97,146.0,
2212,300288,84.5,86.05,81.78,
2213,300044,44.19,44.79,43.01,
2214,300212,87.98,90.8,85.2,
2215,603828,54.99,56.88,51.74,
2216,002065,42.55,42.89,40.79,
2217,603009,51.69,52.16,49.5,
2218,002397,18.48,18.85,17.8,
2219,000593,18.85,18.92,17.99,
2220,002322,37.95,37.95,34.21,
2221,601009,22.4,23.5,21.07,
2222,002520,47.36,48.7,45.8,
2223,002347,36.05,37.59,34.8,
2224,002748,53.86,54.45,51.3,
2225,600570,170.0,175.0,165.03,
2226,603601,45.21,45.79,43.1,
2227,002685,21.38,21.38,20.49,
2228,603268,55.58,56.19,53.01,
2229,600850,94.37,96.2,91.11,
2230,002375,33.35,33.58,31.86,
2231,601689,38.9,39.35,36.81,
2232,603015,50.18,50.39,47.5,
2233,002658,40.3,40.3,38.78,
2234,002750,110.39,113.4,103.5,
2235,300033,116.8,118.0,111.0,
2236,603019,126.85,128.0,119.78,
2237,300352,73.78,80.5,66.88,
2238,000065,55.0,57.84,52.01,
2239,600193,24.5,24.94,24.31,
2240,300422,117.18,118.56,110.0,
2241,000626,103.0,109.1,100.86,
2242,300435,79.01,79.58,75.08,
2243,300276,40.8,40.8,38.85,
2244,300240,33.5,33.5,30.06,
2245,300052,49.0,49.12,46.0,
2246,000815,37.93,37.93,36.49,
2247,002024,22.0,22.27,21.43,
2248,603997,40.0,41.0,38.0,
2249,300001,74.62,74.71,66.5,
2250,300404,159.59,162.96,148.0,
2251,000158,36.68,36.71,34.75,
2252,603788,56.42,56.95,53.35,
2253,601766,25.89,25.89,24.31,
2254,300429,116.0,118.17,108.18,
2255,603869,44.24,45.45,42.42,
2256,603012,45.0,45.3,42.18,
2257,000524,33.4,33.4,29.76,
2258,300085,120.32,122.0,114.0,
2259,002644,65.33,65.33,59.98,
2260,002153,212.0,223.0,196.01,
2261,603808,65.85,67.99,62.35,
2262,300439,163.7,165.7,153.9,
2263,603025,65.85,68.5,59.0,
2264,300374,36.8,36.8,34.37,
2265,600959,47.26,48.22,44.0,
2266,300453,102.18,102.19,85.68,
2267,603567,81.99,85.43,77.0,
2268,603021,72.85,75.69,66.29,
2269,002095,123.99,124.0,115.02,
2270,002752,57.95,60.0,53.98,
2271,300424,135.6,138.31,127.48,
2272,603818,59.6,62.0,53.02,
2273,300443,175.01,180.8,165.0,
2274,300440,110.01,111.99,103.4,
2275,300438,116.88,119.65,108.0,
2276,300441,80.63,82.98,75.13,
2277,300442,103.0,104.97,95.01,
2278,600525,30.86,30.96,28.78,
2279,603315,70.7,72.99,66.0,
2280,300436,218.0,219.99,202.85,
2281,603989,89.7,91.39,77.0,
2282,603599,82.0,83.41,70.4,
2283,000925,45.0,45.46,42.6,
2284,600807,31.0,32.0,29.0,
2285,603789,68.15,70.6,64.0,
2286,603566,85.48,86.49,71.5,
2287,300444,81.3,83.0,75.66,
2288,603355,90.99,97.2,81.01,
2289,300457,108.25,108.25,89.0,
2290,300434,107.09,110.89,97.5,
2291,603968,98.95,99.06,82.0,
2292,300449,176.0,178.98,161.95,
2293,603022,87.6,87.6,72.99,
2294,300437,124.5,126.48,114.02,
2295,600012,19.7,19.93,18.05,
2296,300414,145.85,145.85,120.02,
2297,002756,99.0,103.3,85.8,
2298,002753,84.8,84.83,69.5,
2299,600381,48.0,49.0,44.69,
2300,002751,210.0,217.88,179.8,
2301,300409,109.98,109.98,99.99,
2302,300446,178.55,185.88,158.94,
2303,300448,175.0,179.0,160.65,
